# Procesamiento: 2025-05-16 21:02:50
timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0.67,0.14,-0.03,9.27,0.01,0.01,0.02
0.68,0.13,-0.03,9.26,0.01,0.01,0.01
0.69,0.12,-0.02,9.25,0.01,0.01,0.02
0.7,0.13,-0.01,9.24,0.01,0.01,0.03
0.71,0.14,-0.02,9.23,0.01,0.01,0.02
0.72,0.12,-0.03,9.22,0.01,0.01,0.01
0.73,0.13,-0.02,9.21,0.01,0,0.02
0.74,0.15,-0.03,9.2,0.01,0.01,0.02
0.75,0.13,-0.04,9.19,0.01,0.01,0.01
0.76,0.12,-0.02,9.18,0.01,0,0.01
0.77,0.13,-0.03,9.17,0.01,0.01,0.02
0.78,0.14,-0.02,9.16,0.01,0,0.01
0.79,0.13,-0.03,9.15,0.01,0.01,0.02
0.8,0.12,-0.02,9.14,0.01,0.01,0.03
0.81,0.13,-0.01,9.13,0.01,0.01,0.01
0.82,0.14,-0.03,9.12,0.01,0.01,0.02
0.83,0.12,-0.02,9.11,0.01,0,0.01
0.84,0.13,-0.04,9.1,0.01,0.01,0.02
0.85,0.15,-0.03,9.09,0.01,0,0.01
0.86,0.13,-0.02,9.08,0.01,0.01,0.02
0.87,0.12,-0.02,9.07,0.01,0.01,0.01
0.88,0.13,-0.03,9.06,0.01,0.01,0.02
0.89,0.14,-0.02,9.05,0.01,0.01,0.02
0.9,0.13,-0.04,9.04,0.01,0.01,0.01
0.91,0.14,-0.03,9.03,0.01,0.01,0.02
0.92,0.13,-0.03,9.02,0.01,0.01,0.01
0.93,0.12,-0.02,9.01,0.01,0.01,0.02
0.94,0.13,-0.01,9,0.01,0.01,0.01
0.95,0.14,-0.02,8.99,0.01,0.01,0.03
0.96,0.12,-0.03,8.98,0.01,0,0.01
0.97,0.13,-0.02,8.97,0.01,0.01,0.02
0.98,0.15,-0.03,8.96,0.01,0.01,0.01
0.99,0.13,-0.04,8.95,0.01,0.01,0.02
1,0.12,-0.02,8.94,0.01,0,0.02
